data
1
0
1
0
0
1
0
2
1
1
0
2
4
4
3
4
0
4
1
3
2
6
5
2
10
7
13
13
15
19
31
42
102
110
79
110
914
338
379
391
582
900
1035
1245
1969
1766
1501
