3.4553,3.5246,5.5244,6.0998,5.3225,5.5981,6.4050,7.3431,8.1436,6.6232,7.5612,6.2165,5.7620,5.4578,5.9087,6.0028,6.4428,7.7132,7.4060,8.3070,10.7367,11.8403,11.1387,3.8936,1.2967,0.6611,0.4302,0.3197,0.2617,0.2437,0.2376,0.2353,0.4615,0.2122,0.2334,0.2751,0.2770
0.7734,0.7444,0.9493,1.0924,1.1259,1.0001,1.0014,1.1005,1.1311,1.0445,1.0360,0.9897,1.0916,0.9993,0.9777,0.9645,1.0560,0.9628,1.1476,1.2052,1.2463,1.0686,0.9575,0.8797,0.7816,0.8425,0.2473,0.1751,0.1525,0.1424,0.1355,0.1293,0.1542,0.1339,0.1371,0.1257,0.1291
0.7458,0.7560,0.9893,1.1008,1.1381,0.9397,0.9563,0.9864,1.0680,0.9684,1.1065,1.0913,1.1645,0.9755,0.9526,0.9137,0.9965,1.0015,0.9771,1.0534,1.1204,0.9577,0.8637,0.7145,0.7394,0.7118,0.2372,0.1523,0.1223,0.1098,0.0998,0.1068,0.1270,0.1068,0.1075,0.1021,0.1058
0.5191,0.5139,0.7392,0.8328,0.7632,0.6944,0.7694,0.8591,0.8604,0.7843,0.7991,0.7619,0.7664,0.7427,0.7733,0.7520,0.7972,0.8514,0.8491,0.9536,1.1192,1.0660,1.0143,0.8066,0.5933,0.7057,0.5881,0.3539,0.1901,0.1106,0.0935,0.0911,0.1087,0.0913,0.0930,0.0911,0.0877
0.2504,0.2451,0.3315,0.3654,0.3721,0.3479,0.3357,0.2979,0.3185,0.3109,0.3555,0.3357,0.3798,0.3402,0.3352,0.3288,0.3457,0.3470,0.3544,0.4059,0.4492,0.3847,0.3232,0.2958,0.3926,0.3945,0.2175,0.0902,0.0481,0.0391,0.0378,0.0341,0.0439,0.0381,0.0392,0.0356,0.0331
0.3304,0.3064,0.4404,0.4870,0.4718,0.4033,0.4212,0.4487,0.4903,0.4494,0.5065,0.5280,0.5683,0.5478,0.5116,0.4957,0.5180,0.5245,0.5283,0.5964,0.6770,0.6215,0.5829,0.5276,0.4447,0.6090,0.2005,0.0920,0.0804,0.0733,0.0691,0.0705,0.0927,0.0747,0.0703,0.0716,0.0726
0.6023,0.5763,0.8377,0.9689,0.9382,0.8952,0.9937,1.0431,1.2145,1.0861,1.0935,0.9924,0.9155,0.8829,0.9407,0.9490,1.0099,1.0639,1.0772,1.2081,1.4150,1.3009,1.1929,0.9798,0.8882,1.1044,0.3964,0.1864,0.1581,0.1419,0.1371,0.1308,0.1543,0.1362,0.1386,0.1369,0.1424
0.4477,0.3379,0.5855,0.7447,0.8039,0.7074,0.6320,0.6388,0.6321,0.5766,0.6042,0.5979,0.6384,0.5644,0.5229,0.5677,0.5885,0.6038,0.5988,0.6036,0.5956,0.5537,0.4826,0.3404,0.1959,0.1325,0.0819,0.0706,0.0661,0.0640,0.0543,0.0527,0.0626,0.0517,0.0480,0.0443,0.0446
0.4703,0.3868,0.7058,0.7948,0.7617,0.7369,0.7428,0.8068,0.8687,0.7528,0.7417,0.6874,0.7019,0.6403,0.6185,0.6196,0.6690,0.7381,0.7413,0.7714,0.8440,0.8025,0.7730,0.6313,0.3747,0.3501,0.1464,0.0884,0.0792,0.0782,0.0704,0.0668,0.0771,0.0638,0.0599,0.0585,0.0620
0.4408,0.4378,0.6662,0.7759,0.8038,0.7213,0.7160,0.7208,0.7697,0.6906,0.7490,0.6868,0.6708,0.6382,0.6615,0.6529,0.7030,0.8096,0.8046,0.8958,1.0331,0.9905,0.9116,0.7193,0.4841,0.2489,0.1340,0.1114,0.1053,0.1020,0.0965,0.1012,0.1279,0.1058,0.1094,0.0921,0.1037
